Año de Publicación,,,Acceso Abierto,,,Tema Principal,,,Institución de Afiliación,,,Tipo,,
1960,19,,,,,Investigación en anticuerpos monoclonales y policlonales,266,,Centro de Investigación y Desarrollo de Medicamentos,466,,,,
1961,19,,,,,Medios y comunicación digital,265,,Centro de Aplicaciones de Tecnologías Avanzadas,447,,,,
1945,18,,,,,Aceites esenciales y actividad antimicrobiana,260,,Universidad de Ciencias Pedagógicas Félix Varela Morales,447,,,,
1967,18,,,,,Materiales ferroeléctricos y piezoeléctricos,257,,Universidad de Ciencias Médicas de Villa Clara,438,,,,
1941,17,,,,,Infección por helmintos y su control,255,,Universidad Central,376,,,,
1947,16,,,,,Arqueología y patrimonio cultural,254,,Universidad de Oriente,290,,,,
1954,16,,,,,Prácticas y políticas educativas,251,,Hospital Militar Central,252,,,,
1955,16,,,,,Problemas sociales y políticas en América Latina,251,,Hospital de Especialidades,252,,,,
1957,16,,,,,Resultados e influencias educativas,250,,Instituto de Meteorología,204,,,,
1943,15,,,,,Estudios de investigación sobre virus de plantas,247,,Universidad de Ciencias Médicas de Guantánamo,170,,,,
1948,15,,,,,Estudios sobre presión arterial e hipertensión,244,,Departamento de Epidemiología,169,,,,
1958,15,,,,,Agroforestería y sistemas silvopastoriles,243,,Centro de Investigación y Desarrollo,159,,,,
1953,14,,,,,Nutrición y crecimiento en acuicultura,241,,,,,,,
1966,13,,,,,Periodismo y estudios de medios,241,,,,,,,
1942,12,,,,,Historia de la educación en España,237,,,,,,,
1962,12,,,,,"Ciencia, tecnología y educación en América Latina",236,,,,,,,
1964,12,,,,,Calidad y seguridad en la atención sanitaria,231,,,,,,,
1965,12,,,,,Hongos micorrícicos e interacciones con plantas,227,,,,,,,
1949,11,,,,,Estudios de manejo y caracterización de nematodos,226,,,,,,,
1956,11,,,,,Fisiología vegetal y estudios de cultivo,226,,,,,,,
1952,10,,,,,Tratamientos y trastornos psicológicos,225,,,,,,,
1963,10,,,,,Investigación y hallazgos sobre leptospirosis,222,,,,,,,
1911,9,,,,,Manifestaciones de salud oral en VIH/SIDA,220,,,,,,,
1934,8,,,,,Estudios gastroenterológicos relacionados con Helicobacter pylori,217,,,,,,,
1925,7,,,,,Investigación sobre el virus de la hepatitis C,216,,,,,,,
1928,7,,,,,"Conejos: nutrición, reproducción y salud",216,,,,,,,
1930,7,,,,,Salud infantil y adolescente,211,,,,,,,
1939,7,,,,,Estudios ambientales y culturales en América Latina y más allá,210,,,,,,,
1940,7,,,,,Estructuras cuánticas y dispositivos semiconductores,201,,,,,,,
1926,6,,,,,Ciencias agrícolas y alimentarias,201,,,,,,,
1933,6,,,,,Estudios de investigación sobre bacterias Vibrio,196,,,,,,,
1896,5,,,,,Extractos y aplicaciones de Psidium guajava,196,,,,,,,
1916,5,,,,,Estudios urbanos latinoamericanos,195,,,,,,,
1932,5,,,,,Justicia penal y penología,195,,,,,,,
1936,5,,,,,"Estudios estelares, planetarios y galácticos",194,,,,,,,
1912,4,,,,,Educación en contextos rurales,194,,,,,,,
1927,4,,,,,Estudios sobre el virus de la hepatitis B,192,,,,,,,
1935,4,,,,,Infecciones parasitarias y diagnóstico,191,,,,,,,
1892,3,,,,,Comunicación e impacto del COVID-19,191,,,,,,,
1893,3,,,,,Enfermedades neurodegenerativas genéticas,190,,,,,,,
1901,3,,,,,Metabolitos microbianos en biotecnología alimentaria,190,,,,,,,
1903,3,,,,,Neumonía e infecciones respiratorias,189,,,,,,,
1907,3,,,,,Flora y fauna mediterránea e ibérica,189,,,,,,,
1922,3,,,,,Microbiología oral e investigación sobre periodontitis,186,,,,,,,
1931,3,,,,,Estudios de ecosistemas coralinos y marinos,185,,,,,,,
1885,2,,,,,Cirugía intraocular y lentes,184,,,,,,,
1905,2,,,,,Estudios arqueológicos e históricos,183,,,,,,,
1910,2,,,,,Habilidades sociales y educación,183,,,,,,,
1918,2,,,,,Interacciones insecto-planta y control,181,,,,,,,
1929,2,,,,,EEG e interfaces cerebro-computadora,179,,,,,,,
1937,2,,,,,Nutrición y fisiología animal,178,,,,,,,
1830,1,,,,,Inmunodeficiencia y trastornos autoinmunes,178,,,,,,,
1855,1,,,,,Hemoglobinopatías y trastornos relacionados,177,,,,,,,
1862,1,,,,,Rendimiento deportivo y entrenamiento,176,,,,,,,
1866,1,,,,,Ciencias médicas y biológicas,176,,,,,,,
1877,1,,,,,Estrategias de control de plagas de insectos,172,,,,,,,
1881,1,,,,,Relaciones internacionales en América Latina,172,,,,,,,
1886,1,,,,,Estudios clínicos de investigación sobre COVID-19,171,,,,,,,
1887,1,,,,,Estudios de género y feministas,171,,,,,,,
1894,1,,,,,Patógenos vegetales y mecanismos de resistencia,169,,,,,,,
1895,1,,,,,Cambio climático e impactos en la salud,168,,,,,,,
1899,1,,,,,Procesos de mecanizado avanzado y optimización,166,,,,,,,
1900,1,,,,,Mecánica de materiales compuestos,166,,,,,,,
1906,1,,,,,Geografía y métodos de educación,166,,,,,,,
1908,1,,,,,Enfermedades infecciosas transmitidas por vectores,165,,,,,,,
1909,1,,,,,Investigación sobre cáncer cervical y VPH,161,,,,,,,
1920,1,,,,,Evaluación y manejo del pie diabético,161,,,,,,,
1921,1,,,,,Trastornos gastrointestinales y tratamientos,161,,,,,,,
1924,1,,,,,Simbiosis fijadora de nitrógeno en leguminosas,159,,,,,,,
,,,,,,"Bibliotecas, manuscritos y libros",159,,,,,,,
,,,,,,Estudios sobre cardiopatías congénitas,156,,,,,,,
,,,,,,Inmunoterapia y respuestas inmunes,156,,,,,,,
,,,,,,Optimización de sistemas de control avanzados,156,,,,,,,
,,,,,,Derecho administrativo y gobernanza,156,,,,,,,
,,,,,,Estudios de literatura y cultura española,155,,,,,,,
,,,,,,Cirugía y trastornos de la córnea,154,,,,,,,
,,,,,,Investigación y tratamiento de la epilepsia,153,,,,,,,
,,,,,,Investigación sobre glicosilación y glicoproteínas,153,,,,,,,
,,,,,,Investigación sobre infecciones microbianas y enfermedades,153,,,,,,,
,,,,,,Glaucoma y trastornos de la retina,152,,,,,,,
,,,,,,Tecnología en educación y atención sanitaria,152,,,,,,,
,,,,,,Gestión de enfermedades animales y epidemiología,150,,,,,,,
,,,,,,Estudios cooperativos y economía,150,,,,,,,
,,,,,,Catálisis e inmovilización de enzimas,149,,,,,,,
,,,,,,Innovaciones en educación médica,148,,,,,,,
,,,,,,Infecciones nosocomiales en UCI,148,,,,,,,
,,,,,,Diagnóstico y tratamiento de enfermedades hepáticas,147,,,,,,,
,,,,,,Investigación sobre SARS-CoV-2 y COVID-19,146,,,,,,,
,,,,,,Estudios de investigación sobre leishmaniasis,144,,,,,,,
,,,,,,Diagnóstico y tratamiento del cáncer,144,,,,,,,
,,,,,,Microorganismos entomopatógenos en el control de plagas,143,,,,,,,
,,,,,,Investigación sobre salud oral y gingival,143,,,,,,,
,,,,,,Estudios históricos de arte y arquitectura,143,,,,,,,
,,,,,,Algoritmos y aplicaciones de minería de datos,140,,,,,,,
,,,,,,Métodos analíticos en farmacéutica,140,,,,,,,
,,,,,,Análisis y crítica literaria comparada,140,,,,,,,
,,,,,,Física de la superconductividad y el magnetismo,139,,,,,,,
,,,,,,Calidad de la carne y productos animales,139,,,,,,,
,,,,,,Teoría económica y política,139,,,,,,,
,,,,,,Estudios de conectividad funcional cerebral,138,,,,,,,
,,,,,,Diabetes y trastornos asociados,138,,,,,,,
,,,,,,Estudios de moluscos y parásitos,138,,,,,,,
,,,,,,"Salud, enfermería y cuidado de adultos mayores",135,,,,,,,
,,,,,,Producción y caracterización de enzimas,134,,,,,,,
,,,,,,Biología de anfibios y reptiles,132,,,,,,,
,,,,,,Prácticas e influencias de la lactancia materna,132,,,,,,,
,,,,,,Prácticas de riego y gestión del agua,132,,,,,,,
,,,,,,Investigación sobre el café y sus impactos,131,,,,,,,
,,,,,,Patología y tratamiento de la salud oral,131,,,,,,,
,,,,,,Diagnóstico y tratamiento del linfoma,130,,,,,,,
,,,,,,Química analítica y sensores,130,,,,,,,
,,,,,,Impactos de la investigación en salud y medicina,130,,,,,,,
,,,,,,Desgaste y propiedades de aleaciones metálicas,130,,,,,,,
,,,,,,Investigación sobre lupus eritematoso sistémico,129,,,,,,,
,,,,,,Ingeniería estructural y análisis de vibraciones,129,,,,,,,
,,,,,,Investigación sobre infecciones del tracto reproductivo,127,,,,,,,
,,,,,,Optimización e integración de procesos,127,,,,,,,
,,,,,,Estudios de investigación sobre Toxoplasma gondii,127,,,,,,,
,,,,,,"Biología, ecología y comportamiento de peces",127,,,,,,,
,,,,,,Arquitectura de la información y usabilidad,127,,,,,,,
,,,,,,"Estudios sobre violencia, educación y género",127,,,,,,,
,,,,,,Estudios literarios y culturales,126,,,,,,,
,,,,,,Diversidad y evolución vegetal,125,,,,,,,
,,,,,,"Nacimiento, desarrollo y salud",125,,,,,,,
,,,,,,Sistemas de salud y tecnología,125,,,,,,,
,,,,,,Biotecnología y campos relacionados,125,,,,,,,
,,,,,,Salud cardíaca y salud mental,124,,,,,,,
,,,,,,Nutrición y fisiología digestiva de rumiantes,123,,,,,,,
,,,,,,Uso de antibióticos y resistencia,123,,,,,,,
,,,,,,Patología oral y maxilofacial,123,,,,,,,
,,,,,,Análisis algebraico y geométrico,123,,,,,,,
,,,,,,Investigación en ingeniería química y ambiental,123,,,,,,,
,,,,,,Monitoreo y análisis de la calidad del agua,123,,,,,,,
,,,,,,Técnicas y resultados de implantes dentales,122,,,,,,,
,,,,,,Tecnología de sensores y sistemas de medición,122,,,,,,,
,,,,,,Investigación sobre infarto agudo de miocardio,121,,,,,,,
